Key,Source,Context,Changes,English
farmLifeAgedBarrelDesc,items,Item,KgNone,Use a Chemistry Station. The Aged Barrel is a tool used in the Brew Station for crafting.
farmLifeAgedBourbonDesc,items,Item,KgNone,Use the Charred Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeAgedBulleeetDesc,items,Item,KgNone,Use the Charred Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeAgedCheddarDesc,items,Item,KgNone,Use the Aging Shelves on a Fermentor Bench. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeAgedDoubleIPADesc,items,Item,KgNone,Use the Oak Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeAgedPortWineDesc,items,Item,KgNone,Use the Aged Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeAgedScotchDesc,items,Item,KgNone,Use the Aged Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeAgedWheatFlourDesc,items,Item,KgNone,Use a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.
farmLifeAgingShelvesDesc,items,Item,KgNone,Use a Workbench. The Aging Shelves are a tool used in the Fermentor Bench for crafting.
farmLifeAirofScotlandDesc,items,Item,KgNone,There is something special about the Scottish air. Without it - the world would never know what true Scotch tastes like. Necessary component for crafting Scotch.
farmLifeAlkalineSolutionDesc,items,Item,KgNone,Use a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeAmericanFriesDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeAmericanFriesStep1Desc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeAnchoPepperDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeAppleDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
