Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

Aged Bourbon,,item,Food,newKey,Aged Bourbon,,Gereifter Bourbon
farmLifeAgedBourbonDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Charred Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende das verkohlte Fass in einer Braustation. Ein Gegestand, der zur Herstellung leckerer Mahlzeiten oder Getränken verwendet wird."
Aged Bulleeet,,item,Food,newKey,Aged Bulleeet,,Gereifter Bulleeet
farmLifeAgedBulleeetDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Charred Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende das verkohlte Fass in einer Braustation. Ein Gegestand, der zur Herstellung leckerer Mahlzeiten oder Getränken verwendet wird."
Aged Cheddar,,item,Food,newKey,Aged Cheddar,,Gereifter Cheddar
farmLifeAgedCheddarDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Aging Shelves on a Fermentor Bench. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Alterungsregale auf einer Fermenterbank. Einige leckere Häppchen, die dich definitiv gegen die Zombie-Apokalypse antreiben werden."
Aged Double IPA,,item,Food,newKey,Aged Double IPA,,Gereifter Doppel-IPA
farmLifeAgedDoubleIPADesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Oak Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende das Eichenfass in einer Braustation. Ein Gegestand, der zur Herstellung leckerer Mahlzeiten oder Getränken verwendet wird."
Aged Port Wine,,item,Food,newKey,Aged Port Wine,,Gereifter Portwein
farmLifeAgedPortWineDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Aged Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende das gealterte Fass in einer Braustation. Ein Gegestand, der zur Herstellung leckerer Mahlzeiten oder Getränken verwendet wird."
Aged Scotch,,item,Food,newKey,Aged Scotch,,Gereifter Scotch
farmLifeAgedScotchDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Aged Barrel on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende das gealterte Fass in einer Braustation. Ein Gegestand, der zur Herstellung leckerer Mahlzeiten oder Getränken verwendet wird."
Aged Wheat Flour,,item,Food,newKey,Aged Wheat Flour,,Gereiftes Weizenmehl
farmLifeAgedWheatFlourDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Fermentierstation. Ein Gegestand, der zur Herstellung leckerer Mahlzeiten oder Getränken verwendet wird."
Aging Shelves,,item,Food,newKey,Aging Shelves,,Alterungsregale
farmLifeAgingShelvesDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Workbench. The Aging Shelves are a tool used in the Fermentor Bench for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Werkbank.  Die Alterungsregale sind ein Werkzeug, das in der Fermentierstation benötigt wird."
Air of Scotland,,item,Food,newKey,Air of Scotland,,Schottenluft
